"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",0.312686963836373,8.83356349326446,8.83356349326446
"Dim.2",0.266562121641723,7.53051357668252,16.364077069947
"Dim.3",0.217170072955551,6.13516343870867,22.4992405086557
"Dim.4",0.203703628435586,5.75472962964882,28.2539701383045
"Dim.5",0.188087933748516,5.31357842584663,33.5675485641511
"Dim.6",0.180130314701559,5.08877169823616,38.6563202623873
"Dim.7",0.163053506943256,4.606343317646,43.2626635800333
"Dim.8",0.153031156324053,4.32320688797116,47.5858704680044
"Dim.9",0.146520523705016,4.13927825239276,51.7251487203972
"Dim.10",0.133450653391027,3.77004786347328,55.4951965838705
"Dim.11",0.116954129209198,3.30401278484232,58.7992093687128
"Dim.12",0.112704048821202,3.18394588311344,61.9831552518262
"Dim.13",0.106129648565281,2.99821577982329,64.9813710316495
"Dim.14",0.0988826687025682,2.79348496544506,67.7748559970946
"Dim.15",0.0916614245050992,2.58948119651246,70.364337193607
"Dim.16",0.0880064517334209,2.48622638330039,72.8505635769074
"Dim.17",0.0814007539724429,2.29961210980146,75.1501756867089
"Dim.18",0.0753654007156554,2.1291103544868,77.2792860411957
"Dim.19",0.0689315121302816,1.94734977633481,79.2266358175305
"Dim.20",0.0629910757779136,1.77952947115637,81.0061652886869
"Dim.21",0.0619297081855342,1.74954530455746,82.7557105932443
"Dim.22",0.0601542834580114,1.69938866589986,84.4550992591442
"Dim.23",0.0532091883401064,1.50318624691165,85.9582855060558
"Dim.24",0.0492396729991408,1.39104544842203,87.3493309544778
"Dim.25",0.048478805118439,1.36955054933285,88.7188815038107
"Dim.26",0.0437871938108794,1.2370101777658,89.9558916815765
"Dim.27",0.0402867287053042,1.13812028358321,91.0940119651597
"Dim.28",0.0395765492753573,1.11805735864039,92.2120693238001
"Dim.29",0.0376981820494383,1.06499254279311,93.2770618665932
"Dim.30",0.0336514330431574,0.950669854537408,94.2277317211306
"Dim.31",0.0310564164977245,0.877359336123377,95.105091057254
"Dim.32",0.0275975835463429,0.77964557116894,95.8847366284229
"Dim.33",0.0267705637477843,0.756281847235192,96.6410184756581
"Dim.34",0.0239849322216429,0.677586360051767,97.3186048357099
"Dim.35",0.0216268679710951,0.61096986276373,97.9295746984736
"Dim.36",0.0189468220402278,0.535257221581893,98.4648319200555
"Dim.37",0.0171010255391944,0.483112545041888,98.9479444650974
"Dim.38",0.0141116072167914,0.398659978696032,99.3466044437934
"Dim.39",0.0128341853746479,0.362572171222989,99.7091766150164
"Dim.40",0.0102944504029967,0.290823384983583,100
